nó,betweenness,degree,clustering
0,0.0001569584064294,44,0.5739957716701902
1972,0.0036218632980778,57,0.4423558897243108
5111,3.0374026300133933e-05,33,0.5113636363636364
138,7.55749616144968e-06,21,0.819047619047619
3053,1.3214238226559989e-05,19,0.7719298245614035
1473,2.829157204082545e-05,21,0.7333333333333333
4978,3.610731999910155e-05,35,0.7142857142857143
4523,0.0034716963323294,54,0.3745632424877708
2334,0.0002314437504392,47,0.5032377428307123
1038,1.3759479059479137e-05,20,0.7631578947368421
3923,0.0009261286159206,18,0.3790849673202614
3874,2.035999669986623e-05,27,0.7350427350427351
766,0.0002983650954567,66,0.3911421911421911
98,0.0093384498529474,145,0.2367816091954023
2676,0.0001143646752475,51,0.5231372549019608
1547,0.0001314759341896,38,0.6102418207681366
3622,0.0017358977535519,45,0.5505050505050505
5292,2.8109296344052804e-05,33,0.6628787878787878
5455,4.77971119604556e-05,22,0.7792207792207793
2755,0.0001291966302399,30,0.6413793103448275
568,0.0002884445348447,34,0.4117647058823529
1849,0.0004391847655076,72,0.4788732394366197
980,2.263854949486308e-05,29,0.7660098522167488
1578,2.6950466007884948e-05,31,0.578494623655914
4674,0.0043784120642672,55,0.25117845117845117
876,0.0003904304298622,55,0.4767676767676768
3842,5.67454120014037e-05,18,0.673202614379085
5866,2.8483964454705702e-05,35,0.6773109243697479
3883,0.0001229941576996,73,0.4250380517503805
2524,0.0002091064858536,86,0.3841313269493844
961,0.0002474127946233,76,0.4231578947368421
5154,0.0001744000723692,47,0.5245143385753932
3372,6.577408678780303e-06,23,0.8260869565217391
2639,0.000649277254014,62,0.3886832363828662
3099,0.0166184054297446,145,0.19473180076628352
2852,8.404599046588426e-05,33,0.6193181818181818
1909,0.0006939619358234,78,0.37462537462537465
4537,6.533362950128817e-05,46,0.5285024154589372
1676,2.7631642996642613e-06,17,0.8382352941176471
4924,0.0001723622100187,54,0.4919636617749825
724,0.0018164971189774,105,0.3075091575091575
5855,0.0114020482033397,146,0.20425129900803024
4157,1.130671530081908e-05,19,0.783625730994152
2051,0.0001632598135485,44,0.4439746300211416
4630,1.6714509823855167e-05,31,0.6623655913978495
1,0.0001382331605312,19,0.4853801169590643
4413,0.000242844060976,20,0.45263157894736844
4896,2.110961097014969e-07,8,0.8214285714285714
5471,0.000835149617167,28,0.24867724867724866
3531,5.603541574075959e-05,9,0.7222222222222222
1965,0.0353534621275974,123,0.18152738904438226
2565,0.0004408294448099,38,0.33712660028449504
3317,0.0003779925366009,23,0.35177865612648224
5565,3.367046051674501e-07,7,0.7619047619047619
2448,0.0003707445039962,31,0.2709677419354839
955,0.0001498093222302,18,0.32679738562091504
3699,0.000409394962546,17,0.49264705882352944
519,0.0110077419658438,92,0.22503583373148592
3849,0.0001387734601514,13,0.3974358974358974
5557,2.954638657137889e-05,20,0.6
1618,5.69704123445034e-05,18,0.4117647058823529
3779,0.0007625164904434,14,0.4945054945054945
3550,0.0001855952793252,19,0.42105263157894735
3866,6.912978762346716e-05,17,0.5661764705882353
5729,0.0030993556015206,70,0.18219461697722567
2,6.178775815397838e-05,15,0.6
4073,7.454009770621413e-05,31,0.5720430107526882
641,0.0020205227607409,131,0.17310628302994716
2111,0.0014366729070851,113,0.21428571428571427
5061,0.0001035283589062,29,0.7167487684729064
147,0.0029564533865572,157,0.16184876694430836
453,0.0057497939733623,33,0.3428030303030303
1454,0.0032346807637297,78,0.20446220446220445
1707,0.0014838952091206,130,0.1856887298747764
5867,0.0021694421665651,148,0.1697003125574554
4016,0.0001485193381208,41,0.4853658536585366
2708,0.000134310590284,33,0.5340909090909091
5438,0.0001128006061716,19,0.5730994152046783
762,0.0005821668478964,62,0.3347435219460603
1997,9.789101332802192e-05,38,0.5633001422475107
2386,0.0042350810108836,161,0.15031055900621118
3,0.000699094007075,6,0.26666666666666666
1712,0.0010720055210026,23,0.039525691699604744
3833,0.0054899962868703,78,0.1038961038961039
1172,0.0037359798596056,33,0.13825757575757575
5062,0.0002256793765995,7,0.6190476190476191
1449,0.0010393373272854,15,0.23809523809523808
3940,0.0009345076639036,9,0.3055555555555556
4,0.0003626619016188,37,0.5765765765765766
2075,3.994297553900479e-05,21,0.7
396,0.0001157135806944,29,0.6970443349753694
2739,0.0001117653822419,27,0.7464387464387464
1812,9.99842745323054e-05,7,0.6190476190476191
3693,0.0001849193023565,32,0.625
4938,0.0027337720937341,52,0.3031674208144796
2536,3.785746797212276e-05,25,0.7433333333333333
5110,6.943546556632127e-05,27,0.7122507122507122
2353,0.0013192525337897,26,0.47384615384615386
3173,0.0006175396442054,47,0.45790934320074006
810,3.206892500331548e-05,22,0.7532467532467533
2017,0.0037450944417634,37,0.45045045045045046
4745,1.6086038707816898e-05,33,0.678030303030303
2293,3.698577844488904e-06,15,0.8380952380952381
1845,6.595239222999757e-05,38,0.620199146514936
3721,0.001154323774807,27,0.6182336182336182
4247,0.0004813534373837,46,0.4579710144927536
2812,0.0001554829346595,42,0.45876887340301975
2387,0.0006759582685711,40,0.5705128205128205
2296,0.0019733954044402,71,0.3142857142857143
208,0.0010051627494702,35,0.6369747899159663
5344,0.0002422979735515,32,0.5907258064516129
3368,0.0001796943753923,32,0.5
1602,0.0004429141687244,51,0.42823529411764705
5033,1.6857235420559293e-05,22,0.7922077922077922
2779,0.0009700765323899,16,0.4583333333333333
1439,0.0007589085664499,25,0.44333333333333336
4303,2.631054305763693e-05,27,0.7777777777777778
5036,0.0012895680765871,29,0.6847290640394089
596,7.725203554881992e-05,25,0.6766666666666666
88,0.0001297170493244,28,0.7248677248677249
5485,9.593063903385931e-05,25,0.7733333333333333
4227,1.0420596616800838e-05,20,0.8105263157894737
3072,0.0004496516569513,11,0.5818181818181818
2351,7.507517197860087e-05,34,0.5721925133689839
5,1.4937500268808076e-05,4,0.0
4698,0.0033919817717803,39,0.09446693657219973
521,0.0008840476287213,23,0.12648221343873517
4311,0.0006115058215894,19,0.11695906432748537
4398,0.0030885893207705,44,0.20507399577167018
6,0.0,1,0.0
5281,0.0004155896536565,4,0.0
7,1.662070500971264e-05,5,0.3
535,7.739383059335243e-05,4,0.16666666666666666
3333,0.0002056364266842,5,0.2
1244,0.001551692348341,11,0.12727272727272726
5204,2.862252612221192e-05,3,0.3333333333333333
5298,2.862252612221192e-05,3,0.3333333333333333
8,0.0,1,0.0
191,0.0317835680941584,118,0.03737505432420687
9,0.0,1,0.0
3008,0.0372616062526052,172,0.017407860737114103
10,0.0,1,0.0
5708,0.0018966947430322,35,0.02857142857142857
11,0.0003237157530309,27,0.2336182336182336
5694,6.996574827795669e-05,19,0.38596491228070173
1091,0.0022106718298188,61,0.23442622950819672
3331,0.000416627856873,14,0.37362637362637363
5882,0.0189082700952829,114,0.13569321533923304
3460,0.0024128205198773,61,0.19672131147540983
1478,0.0001111638387437,34,0.30303030303030304
2767,7.408891432430427e-07,7,0.6666666666666666
3947,0.0018276933648965,38,0.14082503556187767
4711,5.302885228287941e-05,7,0.23809523809523808
3720,0.0004219566518549,23,0.391304347826087
492,0.0004549199314813,30,0.20229885057471264
4570,0.0001915658550202,27,0.5185185185185185
464,0.000176310004553,48,0.33687943262411346
3576,0.0541194776146296,207,0.061488673139158574
5480,0.000222130030661,26,0.39384615384615385
3491,0.0011150398208594,48,0.1976950354609929
4967,0.0009819967491519,15,0.2
2097,0.000966560267624,31,0.18064516129032257
1605,2.8234921469177444e-06,7,0.23809523809523808
5442,7.274974664906444e-05,17,0.22058823529411764
1581,0.0029424684989278,66,0.18694638694638693
4248,0.0006548214353515,38,0.2702702702702703
3925,0.0003759092546131,39,0.1862348178137652
4076,6.069621311036242e-05,19,0.5906432748538012
5393,8.265953355027003e-05,21,0.41904761904761906
2195,2.9181732953719352e-05,18,0.38562091503267976
5570,3.98394982401651e-06,4,0.16666666666666666
12,0.0003712568815845,4,0.3333333333333333
2148,0.0002852973786271,10,0.35555555555555557
3867,0.0001959480660157,10,0.37777777777777777
5768,0.0048267631685438,27,0.10256410256410256
527,0.0016625623169392,24,0.20652173913043478
13,0.0,1,0.0
1864,0.0555167105472328,323,0.041824510124415896
14,7.411101832474944e-05,4,0.3333333333333333
1330,0.0003357634754275,4,0.16666666666666666
3685,0.0,2,1.0
540,0.0014527323775997,32,0.09475806451612903
4509,0.0001418468133174,11,0.18181818181818182
15,1.5747474523828188e-07,5,0.9
4735,0.0025303398730943,69,0.2531969309462916
487,0.0004560968393365,28,0.4470899470899471
4894,0.0003440649676908,34,0.46702317290552586
1662,0.0009944541235159,26,0.23076923076923078
5536,0.0002790540277031,43,0.3864894795127353
16,4.064509586954599e-05,6,0.4
1734,0.0007057415684469,10,0.28888888888888886
5612,0.0027244228511505,25,0.13
1052,1.2664130338388527e-06,3,0.3333333333333333
2677,3.0798410093153234e-06,6,0.5333333333333333
3048,0.0106745747778426,41,0.10365853658536585
17,1.671027298348807e-05,8,0.6785714285714286
2760,0.0032116831507028,64,0.13194444444444445
709,0.0010537172270499,44,0.20930232558139536
1333,0.0034576589136478,51,0.16470588235294117
2638,0.0004605267561875,34,0.23790322580645162
1835,0.0004326211845702,25,0.26
1159,0.0022289965108407,57,0.14097744360902256
192,0.0221014077858754,66,0.12167832167832168
18,0.0110542725557256,48,0.0726950354609929
1160,6.163289228307698e-08,5,0.7
2858,0.0003793809816467,6,0.3333333333333333
3280,0.000219143812986,15,0.2
5043,2.416411223192616e-06,4,0.8333333333333334
3781,0.001848596620326,20,0.16842105263157894
1474,0.0234880659720265,193,0.12710492227979275
2299,0.001086551744549,9,0.19444444444444445
484,0.0021839432798415,21,0.18571428571428572
1519,4.342436636970018e-06,4,0.6666666666666666
2654,0.0112867639285759,26,0.12307692307692308
5016,0.0044437822543646,24,0.09420289855072464
5343,0.0005943856540028,17,0.22058823529411764
1258,3.802093925720336e-05,6,0.6
3334,0.0006048712714549,15,0.17142857142857143
24,4.045796456113947e-06,4,0.5
4585,0.0146585073095082,45,0.09191919191919191
5142,0.0099852101094123,37,0.08558558558558559
821,0.0038153527132981,12,0.030303030303030304
1801,0.0,2,1.0
2570,0.0,2,1.0
271,3.9720079941503205e-05,5,0.5
3571,0.0,2,1.0
1740,0.0,1,0.0
2094,0.0043581605056277,35,0.3310924369747899
3387,0.0217459961135204,67,0.07146087743102668
2690,0.0006644643019937,61,0.4103825136612022
1294,0.0018829315077816,19,0.14035087719298245
4119,0.0009803087591133,5,0.0
1390,0.0005657487812662,21,0.1523809523809524
4622,0.0136807533002984,129,0.24576065891472867
3615,0.0002575783802862,13,0.3076923076923077
1077,0.0015034711471535,11,0.01818181818181818
63,0.0004219081463442,10,0.26666666666666666
660,0.0005657487812662,21,0.1523809523809524
1832,1.2318265277243404e-05,6,0.3333333333333333
2187,0.0002729993435866,22,0.2857142857142857
2121,5.679355831364286e-05,10,0.4
267,0.0013749037661992,8,0.25
3495,0.0,2,1.0
155,0.0172190837711774,49,0.2755102040816326
2267,9.434000991920252e-06,2,0.0
703,3.909016785924094e-05,6,0.6666666666666666
2647,0.0009424367909812,63,0.5381464413722479
2239,0.0031950409659529,17,0.10294117647058823
2375,4.909575726035077e-05,4,0.5
3074,0.0119641122766118,34,0.0659536541889483
2213,0.0,2,1.0
19,1.2841303052290529e-05,2,0.0
2851,0.0065890350184606,31,0.08602150537634409
5334,0.0001536244407938,8,0.0
20,1.1454506669985124e-07,14,0.8461538461538461
1324,0.0451063185455185,142,0.1395464988512636
5879,0.0005494976948332,72,0.30203442879499215
3541,0.0014467868735124,102,0.24208891477383032
3037,1.7035321603473306e-05,21,0.6476190476190476
3079,0.0006721737940513,77,0.2901572112098428
3661,0.0003113114542665,37,0.42342342342342343
21,1.302258137815068e-06,3,0.6666666666666666
2025,0.0013951147371419,28,0.23015873015873015
5102,0.0085119017857655,28,0.1349206349206349
3726,0.0036585174892671,44,0.1511627906976744
22,0.0004293612183789,18,0.46405228758169936
1664,3.522411510265256e-05,11,0.509090909090909
4015,3.425749085905009e-05,12,0.45454545454545453
264,0.0006889868171492,16,0.25
1777,3.083641175942994e-05,5,0.3
1232,0.0005256296193069,20,0.4789473684210526
1074,0.00435629224438,36,0.2365079365079365
5226,8.222602410501255e-07,8,0.7857142857142857
1804,0.0025419725187777,31,0.20430107526881722
5128,0.0007299601336601,22,0.29004329004329005
2180,0.0059697197725569,46,0.19420289855072465
5288,0.0021143211009801,22,0.27705627705627706
2030,0.0010768615081611,18,0.39869281045751637
3624,0.0007224066046062,19,0.4853801169590643
3301,2.4997193319581858e-05,18,0.477124183006536
3056,5.157289277549999e-05,16,0.625
5279,0.0030729699038677,37,0.1966966966966967
4961,0.0004798492840383,21,0.40476190476190477
23,1.2734980627118987e-06,3,0.6666666666666666
2374,0.0002516996472302,8,0.25
4620,0.0005623374315563,8,0.17857142857142858
96,0.0045992851790308,17,0.1323529411764706
193,5.346789370559068e-06,18,0.6339869281045751
4490,4.385588619647166e-05,21,0.6
1218,5.25021225816425e-05,10,0.35555555555555557
1033,1.376986390997192e-05,14,0.7692307692307693
